Will,Defoe,456098123,test@rtrt.pl,0000100000000000000
Donald,Trump,4567777,ert@dot.com,95959595959595959
Baker Street 21,456.34
Arnold,Shwarzenegger,450008123,arnold@rtrt.pl,0000100000999999000
Donald,Trump,4567777,ert@dot.com,95959595959595959
Flower Street 34,789.98
John,Smith,345678432,jahn@gmail.com,0404040482228288284
Elizabeth,McKenzie,567098456,email@gmail.com,509980980980980980980
Warsaw Street 45,789.0
Pawel,Ulita,456765567,dsa@pl.pl,2347650000000000
Jurek,Jurkowski,4567,5453,34543535345345345
cesar street,4.5345453E7
